type,breed,color,sex,size,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,outcome_jurisdiction,outcome_zip_code,location,age
DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,LARGE,A389457,07/16/2019,08/30/2019,45,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",8
DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,LARGE,A389457,03/24/2024,03/26/2024,2,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",8
DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,A419963,08/26/2023,03/26/2024,213,STRAY,OVER THE COUNTER,ADOPTION,OTH_MEDIA,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95441.0,"95441(38.70854, -122.90737)",2
DOG,SHIH TZU,TAN,Female,TOY,A425507,03/26/2024,03/26/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,*SEBASTOPOL,95472.0,"95472(38.4007555, -122.8277055)",10
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,A423448,12/19/2023,01/09/2024,21,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",1
DOG,PARSON RUSS TER/CHIHUAHUA SH,CREAM,Spayed,PUPPY,A423033,12/12/2023,01/06/2024,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",1
DOG,SIBERIAN HUSKY,WHITE,Female,MED,A423708,01/06/2024,01/09/2024,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",2
DOG,SIBERIAN HUSKY,BLACK/WHITE,Male,MED,A423717,01/08/2024,01/09/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,UNKNOWN,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",9
DOG,SCHNAUZER MIN/WELSH TERRIER,BLACK/GRAY,Spayed,SMALL,A423699,01/06/2024,01/09/2024,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,COUNTY,OUT OF COUNTY,94612.0,"94612(37.810395, -122.269795)",9
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A421310,12/30/2023,01/09/2024,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",1
