"type_id";"breed";"sex_id";"size_id";"animal_id";"days_in_shelter";"intake_id";"intake_subtype";"outcome_type";"outcome_subtype";"intake_condition";"outcome_condition";"location";"age"
1;"PIT BULL";1;1;"A389457";45;1;"FIELD";"TRANSFER";"HSSC";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";8
1;"GERM SHEPHERD";2;1;"A422038";58;1;"FIELD";"EUTHANIZE";"AGGRESSIVE";"UNKNOWN";"UNTREATABLE";"";3
1;"GERM SHEPHERD";3;2;"A423685";3;1;"OVER THE COUNTER";"RETURN TO OWNER";"";"UNKNOWN";"HEALTHY";"93927(36.32153, -121.24627)";3
1;"PIT BULL";1;1;"A389457";2;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_CALL";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";8
1;"GERM SHEPHERD";3;1;"A419963";213;1;"OVER THE COUNTER";"ADOPTION";"OTH_MEDIA";"HEALTHY";"HEALTHY";"95441(38.70854, -122.90737)";2
1;"BORDER COLLIE";4;3;"A422319";0;2;"FLD_CRUEL";"";"";"UNKNOWN";"";"";9
1;"SHIH TZU";2;4;"A425507";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_CALL";"UNKNOWN";"PENDING";"95472(38.4007555, -122.8277055)";10
2;"DOMESTIC SH";3;2;"A423448";21;1;"OVER THE COUNTER";"ADOPTION";"FINDER";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"PARSON RUSS TER/CHIHUAHUA SH";3;5;"A423033";25;3;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"UNKNOWN";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"SIBERIAN HUSKY";2;3;"A423708";3;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95492(38.541355, -122.80026)";2
1;"SIBERIAN HUSKY";4;3;"A423717";1;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95401(38.44366, -122.7246163)";9
1;"SCHNAUZER MIN/WELSH TERRIER";3;2;"A423699";3;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_MCHIP";"UNKNOWN";"PENDING";"94612(37.810395, -122.269795)";9
2;"DOMESTIC SH";1;6;"A421310";10;3;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95407(38.4127094, -122.7412153)";1
1;"SCHNAUZER MIN";3;2;"A324184";2;2;"FLD_HOSPTL";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"UNKNOWN";"PENDING";"95446(38.503755, -122.9935)";11
1;"GERM SHEPHERD";4;3;"A425494";1;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";1
1;"GERM SHEPHERD/MIX";3;3;"A422004";61;1;"FLD_STRAY";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"95472(38.4007555, -122.8277055)";2
1;"PIT BULL";1;3;"A419574";113;1;"OVER THE COUNTER";"ADOPTION";"VOLUNTEER";"TREATABLE/MANAGEABLE";"HEALTHY";"95401(38.44366, -122.7246163)";6
1;"AUST CATTLE DOG";1;3;"A410926";120;4;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"PENDING";"95409(38.46382, -122.67058)";3
1;"LABRADOR RETR/GERM SHEPHERD";4;3;"A422652";4;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_NOTICE";"UNKNOWN";"PENDING";"95407(38.4127094, -122.7412153)";4
2;"DOMESTIC SH";3;2;"A419441";5;4;"COMM CAT";"DISPOSAL";"FRA";"UNTREATABLE";"DEAD";"";4
1;"FRENCH BULLDOG";4;2;"A420760";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"PENDING";"95472(38.4007555, -122.8277055)";5
1;"CHIHUAHUA SH/PARSON RUSS TER";1;2;"A361098";1;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_PRVS";"UNKNOWN";"HEALTHY";"95476(38.288405, -122.464525)";8
1;"LABRADOR RETR";1;3;"A423710";3;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95492(38.541355, -122.80026)";4
1;"CHIHUAHUA SH/PARSON RUSS TER";1;2;"A361098";1;1;"FLD_STRAY";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95476(38.288405, -122.464525)";8
1;"AUST CATTLE DOG/LABRADOR RETR";3;5;"A423939";67;3;"OVER THE COUNTER";"ADOPTION";"WALKIN";"HEALTHY";"HEALTHY";"95401(38.44366, -122.7246163)";1
2;"DOMESTIC SH";3;6;"A422660";38;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95492(38.541355, -122.80026)";1
1;"AUST CATTLE DOG/LABRADOR RETR";3;5;"A423937";67;3;"OVER THE COUNTER";"ADOPTION";"SCAS WEB";"HEALTHY";"HEALTHY";"94951(38.3091653, -122.6545881)";1
1;"PIT BULL/BULLMASTIFF";4;2;"A423722";0;1;"OVER THE COUNTER";"RETURN TO OWNER";"OVER THE COUNTER_CALL";"UNKNOWN";"PENDING";"95405(38.443415, -122.69178)";1
2;"DOMESTIC SH";3;6;"A370929";28;1;"OVER THE COUNTER";"ADOPTION";"WALKIN";"TREATABLE/REHAB";"HEALTHY";"95441(38.70854, -122.90737)";6
1;"BORDER COLLIE";3;3;"A424844";29;1;"FIELD";"ADOPTION";"WALKIN";"UNKNOWN";"HEALTHY";"95425(38.79895, -123.01762)";10
1;"PARSON RUSS TER/MIX";4;2;"A363763";9;1;"FIELD";"RETURN TO OWNER";"OVER THE COUNTER_WEB";"UNKNOWN";"PENDING";"95404(38.44511, -122.708)";9
