state,year,intake_agg_feline,outcome_agg_feline,intake_agg_canine,outcome_agg_canine,intake_agg_total,outcome_agg_total
AK,2021,2761,2880,1914,1889,4675,4769
AK,2022,3245,3181,2438,2449,5683,5630
AK,2023,2934,2863,2278,2304,5212,5167
AL,2021,6313,6755,15304,15549,21617,22304
AL,2022,6141,6571,15959,16160,22100,22731
AL,2023,5768,5992,16641,17256,22409,23248
AR,2021,4387,4483,6930,7062,11317,11545
AR,2022,4860,4738,7421,7217,12281,11955
AR,2023,5328,5243,7520,7428,12848,12671
AZ,2021,31505,32138,52087,52783,83592,84921
AZ,2022,29727,31067,52415,53295,82142,84362
AZ,2023,30687,31901,49942,51928,80629,83829
CA,2021,139426,138594,140064,140226,279490,278820
CA,2022,152446,145113,168899,165858,321345,310971
CA,2023,163683,162790,186269,188342,349952,351132
CO,2021,43565,43753,39792,40280,83357,84033
CO,2022,46433,45582,42422,42633,88855,88215
CO,2023,49687,50060,43532,44272,93219,94332
CT,2021,3172,2971,1471,1484,4643,4455
CT,2022,2941,2815,1770,1715,4711,4530
CT,2023,2526,2322,1658,1682,4184,4004
DE,2021,1258,1341,553,566,1811,1907
DE,2022,1241,1261,458,440,1699,1701
DE,2023,1155,1189,335,340,1490,1529
FL,2021,88929,89824,60335,62441,149264,152265
FL,2022,87710,88060,59310,61054,147020,149114
FL,2023,92367,90358,59283,62538,151650,152896
GA,2021,35532,34116,31892,31072,67424,65188
GA,2022,32597,30739,29949,28566,62546,59305
GA,2023,31457,30949,28959,30154,60416,61103
HI,2021,11775,11216,8554,8034,20329,19250
HI,2022,10746,10042,9949,9367,20695,19409
HI,2023,11619,11060,10060,9872,21679,20932
IA,2021,12594,12575,9516,9393,22110,21968
IA,2022,12181,11847,9728,9837,21909,21684
IA,2023,12078,12359,9575,9703,21653,22062
ID,2021,14773,15565,13703,13512,28476,29077
ID,2022,16539,16291,14554,14934,31093,31225
ID,2023,15913,15828,12766,14228,28679,30056
IL,2021,21410,21371,20636,20871,42046,42242
IL,2022,23719,23017,21723,21526,45442,44543
IL,2023,23007,22351,19226,19462,42233,41813
IN,2021,31296,31109,19911,20172,51207,51281
IN,2022,31056,29767,20890,20294,51946,50061
IN,2023,30205,30460,20595,22444,50800,52904
KS,2021,14485,14928,13940,14785,28425,29713
KS,2022,14867,14968,15417,15776,30284,30744
KS,2023,14054,14561,15947,15796,30001,30357
KY,2021,17919,17254,17981,17229,35900,34483
KY,2022,16370,15394,18422,17666,34792,33060
KY,2023,16674,16602,18241,17954,34915,34556
LA,2021,22022,21698,17246,16934,39268,38632
LA,2022,20457,19394,17978,17757,38435,37151
LA,2023,17132,18287,16803,17407,33935,35694
MA,2021,13870,13501,7029,6883,20899,20384
MA,2022,14172,13587,7171,6749,21343,20336
MA,2023,15761,15228,7280,6779,23041,22007
MD,2021,13954,13890,9315,9265,23269,23155
MD,2022,13891,13041,11202,11004,25093,24045
MD,2023,13473,13455,12687,12619,26160,26074
ME,2021,5502,5562,2572,2753,8074,8315
ME,2022,6176,6167,3291,3291,9467,9458
ME,2023,5844,5811,2516,2568,8360,8379
MI,2021,26072,24700,22770,21327,48842,46027
MI,2022,26043,24869,23119,21948,49162,46817
MI,2023,24758,24964,23193,23121,47951,48085
MN,2021,17329,17435,13467,14131,30796,31566
MN,2022,18001,17786,13128,13300,31129,31086
MN,2023,18284,19293,11973,13136,30257,32429
MO,2021,18926,23310,11583,16605,30509,39915
MO,2022,18510,18936,12256,15884,30766,34820
MO,2023,16268,17845,11583,16080,27851,33925
MS,2021,8861,8855,19677,19772,28538,28627
MS,2022,7395,7361,12277,12330,19672,19691
MS,2023,6116,6181,10294,10397,16410,16578
MT,2021,9012,8921,8501,8861,17513,17782
MT,2022,9982,9922,9057,9092,19039,19014
MT,2023,10171,10202,10885,11118,21056,21320
NC,2021,33983,33297,32914,32379,66897,65676
NC,2022,32389,32369,33214,34240,65603,66609
NC,2023,30806,32364,31920,33303,62726,65667
ND,2021,3838,3793,3137,3139,6975,6932
ND,2022,4344,4187,3400,3390,7744,7577
ND,2023,4053,4123,2720,2762,6773,6885
NE,2021,11969,12090,9169,9517,21138,21607
NE,2022,11130,11344,9745,10110,20875,21454
